SKU,Previous Month Ultimo,Current Month Primo,Goods In,Moved to Production,Inbound from Production,Shipments Out,Variants,Inventory ULTIMO
0511-00-3-XS-W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0511-00-4-S-W,49.0,49.0,0.0,0.0,0.0,-5.0,2.0,46.0
0511-00-5-M-W,82.0,82.0,0.0,0.0,0.0,0.0,6.0,88.0
0511-00-6-L-W,61.0,61.0,0.0,0.0,0.0,-7.0,3.0,57.0
0511-00-7-XL-W,99.0,99.0,0.0,0.0,0.0,-2.0,-9.0,88.0
0511-00-8-2XL-W,45.0,45.0,0.0,0.0,0.0,0.0,0.0,45.0
0511-00-9-3XL-W,10.0,10.0,0.0,0.0,0.0,0.0,-10.0,0.0
0511-99-10-4XL-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0511-99-3-XS-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0511-99-4-S-B,136.0,136.0,0.0,0.0,0.0,-6.0,-114.0,16.0
0511-99-5-M-B,90.0,90.0,0.0,0.0,0.0,0.0,8.0,98.0
0511-99-6-L-B,74.0,74.0,0.0,0.0,0.0,-6.0,2.0,70.0
0511-99-7-XL-B,94.0,94.0,0.0,0.0,0.0,-3.0,11.0,102.0
0511-99-8-2XL-B,5.0,5.0,0.0,0.0,0.0,0.0,-4.0,1.0
0511-99-9-3XL-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10441,14542.0,14542.0,0.0,0.0,0.0,-54.0,20.0,14508.0
10442,14247.0,14247.0,0.0,0.0,0.0,-58.0,21.0,14210.0
10443,14447.0,14447.0,0.0,0.0,0.0,-58.0,21.0,14410.0
39473090,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0
39473090-C-DE,0.0,0.0,188.0,0.0,126.0,-264.0,164.0,214.0
39473090-C-DK,0.0,0.0,80.0,0.0,80.0,-40.0,381.0,501.0
39473090-C-FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39473090-DE,426.0,426.0,1500.0,-126.0,0.0,-1495.0,-285.0,20.0
39473090-DK,1144.0,1144.0,0.0,0.0,0.0,-56.0,355.0,1443.0
39473090-FI,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
39473090-INT,369.0,369.0,0.0,0.0,0.0,0.0,-369.0,0.0
39473090-KP-DE,309.0,309.0,0.0,0.0,0.0,0.0,-113.0,196.0
