SKU,Previous Month Ultimo,Current Month Primo
Cposx5-FI,200.0,200.0
Cposx5-R-DE,55.0,55.0
Cposx5-R-DK,327.0,327.0
Cposx5-R-FI,0.0,0.0
Ether10m,79.0,79.0
Ether20m,220.0,220.0
"Ether7,5m",8852.0,8852.0
FP_SK_EVA_Black,116.0,116.0
K1480-B,5725.0,5725.0
K1480-W,40049.0,40049.0
L920Pro-BC-1E0,33118.0,33118.0
MT134-1,5121.0,5121.0
Silicone_cover_white,8993.0,8993.0
Sim-CPOS-2MM,4522.0,4522.0
"Sim-Terminal-1,5MM",35950.0,35950.0
TB32BXU,0.0,0.0
TB32BXU-C-DE,919.0,919.0
TB32BXU-C-DK,0.0,0.0
TB32BXU-C-IT,0.0,0.0
TB32BXU-DE,0.0,0.0
TB32BXU-DK,1023.0,1023.0
TH13-B,3099.0,3099.0
TP-Link WA850RE,0.0,0.0
Terminal Stand Black,0.0,0.0
Terminal stand White,1892.0,1892.0
UN3480_FP_TERMINAL_BAT,1374.0,1374.0
VEJLEDNING-POS,5879.0,5879.0
VL305.741,757.0,757.0
VL308.096,616.0,616.0
silicone_cover_black,9935.0,9935.0
