Varenummer,Område,Mængde
CA-CD330-48B,DE,46
Cposx5-C-DE,DE,0
Cposx5-C-DK,DE,0
Cposx5-C-FI,DE,0
Cposx5-C-FR,DE,0
Cposx5-C-IT,DE,0
Cposx5-DE,DE,0
Cposx5-DK,DE,0
Cposx5-FI,DE,0
Cposx5-R-DE,DE,14
Cposx5-R-DK,DE,0
Cposx5-R-FI,DE,0
Ether10m,DE,79
Ether20m,DE,121
Ether5m,DE,0
"Ether7,5m",DE,1131
FP_SK_EVA_Black,DE,0
K1480-B,DE,173
K1480-W,DE,7138
L920Pro-BC-1E0,DE,114
MT134-1,DE,935
Silicone_cover_white,DE,130
Sim-CPOS-2MM,DE,0
"Sim-Terminal-1,5MM",DE,0
TB32BXU,DE,0
TB32BXU-C-DE,DE,0
TB32BXU-C-DK,DE,0
TB32BXU-C-FI,DE,0
TB32BXU-C-FR,DE,0
TB32BXU-C-IT,DE,0
TB32BXU-DE,DE,0
TB32BXU-DK,DE,0
TH13-B,DE,18
TP-Link WA850RE,DE,44
Terminal Stand Black,DE,0
Terminal stand White,DE,20
UN3480_FP_TERMINAL_BAT,DE,0
VEJLEDNING-POS,DE,0
VL305.741,DE,98
VL308.096,DE,23
silicone_cover_black,DE,79
