Item Number,Warehouse Location,Quantity
021030-99-9-3XL-B,DE,0
021030-99-9-3XL-B#FP,DK,50
021033-99-10-4XL-B,DE,0
021033-99-10-4XL-B#FP,DK,20
021033-99-11-5Xl-B,DE,0
021033-99-11-5Xl-B#FP,DK,10
021033-99-3-XS-B,DE,0
021033-99-3-XS-B#FP,DK,14
021033-99-4-S-B,DE,0
021033-99-4-S-B#FP,DK,29
021033-99-5-M-B,DE,0
021033-99-5-M-B#FP,DK,53
021033-99-6-L-B,DE,0
021033-99-6-L-B#FP,DK,49
021033-99-7-XL-B,DE,0
021033-99-7-XL-B#FP,DK,59
021033-99-8-2XL-B,DE,0
021033-99-8-2XL-B#FP,DK,53
021033-99-9-3XL-B,DE,0
021033-99-9-3XL-B#FP,DK,16
027950-00-3-XS-W,DE,0
027950-00-4-S-W,DE,0
027950-00-4-S-W#FP,DK,2
027950-00-5-M-W,DE,0
027950-00-5-M-W#FP,DK,6
027950-00-6-L-W,DE,0
027950-00-7-XL-W,DE,0
027950-00-7-XL-W#FP,DK,19
027950-00-8-2XL-W,DE,0
027950-00-8-2XL-W#FP,DK,2
027955-00-3-XS-W,DE,0
027955-00-4-S-W,DE,0
027955-00-4-S-W#FP,DK,10
027955-00-5-M-W,DE,0
027955-00-5-M-W#FP,DK,16
027955-00-6-L-W,DE,0
027955-00-6-L-W#FP,DK,17
027955-00-7-XL-W,DE,0
027955-00-7-XL-W#FP,DK,15
027955-00-8-2XL-W,DE,0
027955-00-8-2XL-W#FP,DK,5
028247-99-3-XS-B,DE,0
028247-99-3-XS-B#FP,DK,8
028247-99-4-S-B,DE,0
028247-99-4-S-B#FP,DK,19
028247-99-5-M-B,DE,0
028247-99-5-M-B#FP,DK,37
028247-99-6-L-B,DE,0
028247-99-6-L-B#FP,DK,14
028247-99-7-XL-B,DE,0
028247-99-7-XL-B#FP,DK,19
028247-99-8-2XL-B,DE,0
028247-99-8-2XL-B#FP,DK,10
029033-00-10-4XL-W,DE,0
029033-00-10-4XL-W#FP,DK,30
029033-00-3-XS-W,DE,0
029033-00-3-XS-W#FP,DK,20
029033-00-4-S-W,DE,0
029033-00-4-S-W#FP,DK,93
029033-00-5-M-W,DE,0
029033-00-5-M-W#FP,DK,82
029033-00-6-L-W,DE,0
029033-00-6-L-W#FP,DK,25
029033-00-7-XL-W,DE,0
029033-00-7-XL-W#FP,DK,94
029033-00-8-2XL-W,DE,0
029033-00-8-2XL-W#FP,DK,47
029033-00-9-3XL-W,DE,0
029033-00-9-3XL-W#FP,DK,51
029033-99-10-4XL-B,DE,0
029033-99-3-XS-B,DE,0
029033-99-3-XS-B#FP,DK,10
029033-99-4-S-B,DE,0
029033-99-4-S-B#FP,DK,56
029033-99-5-M-B,DE,0
029033-99-5-M-B#FP,DK,103
029033-99-6-L-B,DE,0
029033-99-6-L-B#FP,DK,115
029033-99-7-XL-B,DE,0
029033-99-7-XL-B#FP,DK,100
029033-99-8-2XL-B,DE,0
029033-99-8-2XL-B#FP,DK,54
029033-99-9-3XL-B,DE,0
029034-99-3-XS-B,DE,0
029034-99-3-XS-B#FP,DK,4
029034-99-4-S-B,DE,0
029034-99-4-S-B#FP,DK,50
029034-99-5-M-B,DE,0
029034-99-5-M-B#FP,DK,60
029034-99-6-L-B,DE,0
029034-99-6-L-B#FP,DK,16
029034-99-7-XL-B,DE,0
029034-99-7-XL-B#FP,DK,9
0510-00-10-4XL-W,DE,0
0510-00-11-5XL-W,DE,0
0510-00-3-XS-W,DE,0
0510-00-4-S-W,DE,0
0510-00-4-S-W#FP,DK,44
0510-00-5-M-W,DE,0
0510-00-5-M-W#FP,DK,75
0510-00-6-L-W,DE,0
0510-00-6-L-W#FP,DK,85
0510-00-7-XL-W,DE,0
0510-00-7-XL-W#FP,DK,93
0510-00-8-2XL-W,DE,0
0510-00-8-2XL-W#FP,DK,48
0510-00-9-3XL-W,DE,0
0510-00-9-3XL-W#FP,DK,30
0510-99-10-4XL-B,DE,0
0510-99-10-4XL-B#FP,DK,52
0510-99-11-5XL-B,DE,0
0510-99-3-XS-B,DE,0
0510-99-4-S-B,DE,0
0510-99-4-S-B#FP,DK,47
0510-99-5-M-B,DE,0
0510-99-5-M-B#FP,DK,80
0510-99-6-L-B,DE,0
0510-99-6-L-B#FP,DK,89
0510-99-7-XL-B,DE,0
0510-99-7-XL-B#FP,DK,84
0510-99-8-2XL-B,DE,0
0510-99-8-2XL-B#FP,DK,4
0510-99-9-3XL-B,DE,0
0510-99-9-3XL-B#FP,DK,30
0511-00-10-4XL-W,DE,0
0511-00-3-XS-W,DE,0
0511-00-4-S-W,DE,0
0511-00-4-S-W#FP,DK,46
0511-00-5-M-W,DE,0
0511-00-5-M-W#FP,DK,88
0511-00-6-L-W,DE,0
0511-00-6-L-W#FP,DK,57
0511-00-7-XL-W,DE,0
0511-00-7-XL-W#FP,DK,88
0511-00-8-2XL-W,DE,0
0511-00-8-2XL-W#FP,DK,45
0511-00-9-3XL-W,DE,0
0511-99-10-4XL-B,DE,0
0511-99-3-XS-B,DE,0
0511-99-4-S-B,DE,0
0511-99-4-S-B#FP,DK,16
0511-99-5-M-B,DE,0
0511-99-5-M-B#FP,DK,98
0511-99-6-L-B,DE,0
0511-99-6-L-B#FP,DK,70
0511-99-7-XL-B,DE,0
0511-99-7-XL-B#FP,DK,102
0511-99-8-2XL-B,DE,0
0511-99-8-2XL-B#FP,DK,1
0511-99-9-3XL-B,DE,0
10441#FP,DK,14508
10442#FP,DK,14210
10443#FP,DK,14410
39473090#FP,DK,34
39473090-C-DE,DE,171
39473090-C-DE#FP,DK,43
